x-axis,CH1,CH2
second,Volt,Volt
-3.0600e-03,-1.5200e+00,-1.2800e+03
-3.0500e-03,-1.5200e+00,-1.3600e+03
-3.0400e-03,-1.4400e+00,-1.2000e+03
-3.0300e-03,-1.4400e+00,-1.2800e+03
-3.0200e-03,-1.3600e+00,-1.2000e+03
-3.0100e-03,-1.4400e+00,-1.2800e+03
-3.0000e-03,-1.2800e+00,-1.1200e+03
-2.9900e-03,-1.3600e+00,-1.2000e+03
-2.9800e-03,-1.2800e+00,-1.0400e+03
-2.9700e-03,-1.2800e+00,-1.1200e+03
-2.9600e-03,-1.2800e+00,-1.0400e+03
-2.9500e-03,-1.2800e+00,-1.1200e+03
-2.9400e-03,-1.2000e+00,-1.0400e+03
-2.9300e-03,-1.2800e+00,-1.0400e+03
-2.9200e-03,-1.1200e+00,-8.8000e+02
-2.9100e-03,-1.2000e+00,-1.0400e+03
-2.9000e-03,-1.0400e+00,-8.8000e+02
-2.8900e-03,-1.1200e+00,-9.6000e+02
-2.8800e-03,-9.6000e-01,-8.8000e+02
-2.8700e-03,-1.0400e+00,-8.8000e+02
-2.8600e-03,-9.6000e-01,-8.0000e+02
-2.8500e-03,-9.6000e-01,-8.8000e+02
-2.8400e-03,-8.8000e-01,-8.0000e+02
-2.8300e-03,-9.6000e-01,-8.0000e+02
-2.8200e-03,-8.8000e-01,-7.2000e+02
-2.8100e-03,-8.8000e-01,-8.0000e+02
-2.8000e-03,-8.0000e-01,-7.2000e+02
-2.7900e-03,-8.0000e-01,-7.2000e+02
-2.7800e-03,-7.2000e-01,-5.6000e+02
-2.7700e-03,-7.2000e-01,-6.4000e+02
-2.7600e-03,-6.4000e-01,-5.6000e+02
-2.7500e-03,-6.4000e-01,-6.4000e+02
-2.7400e-03,-6.4000e-01,-5.6000e+02
-2.7300e-03,-6.4000e-01,-5.6000e+02
-2.7200e-03,-6.4000e-01,-4.0000e+02
-2.7100e-03,-6.4000e-01,-5.6000e+02
-2.7000e-03,-5.6000e-01,-4.0000e+02
-2.6900e-03,-4.8000e-01,-4.8000e+02
-2.6800e-03,-4.8000e-01,-4.0000e+02
-2.6700e-03,-4.8000e-01,-4.8000e+02
-2.6600e-03,-3.2000e-01,-3.2000e+02
-2.6500e-03,-4.8000e-01,-4.0000e+02
-2.6400e-03,-3.2000e-01,-3.2000e+02
-2.6300e-03,-3.2000e-01,-3.2000e+02
-2.6200e-03,-2.4000e-01,-2.4000e+02
-2.6100e-03,-3.2000e-01,-2.4000e+02
-2.6000e-03,-2.4000e-01,-2.4000e+02
-2.5900e-03,-2.4000e-01,-2.4000e+02
-2.5800e-03,-8.0000e-02,-8.0000e+01
-2.5700e-03,-1.6000e-01,-1.6000e+02
-2.5600e-03,-8.0000e-02,-8.0000e+01
-2.5500e-03,-8.0000e-02,-1.6000e+02
-2.5400e-03,0.0000e+00,-8.0000e+01
-2.5300e-03,-8.0000e-02,0.0000e+00
-2.5200e-03,8.0000e-02,8.0000e+01
-2.5100e-03,0.0000e+00,0.0000e+00
-2.5000e-03,1.6000e-01,1.6000e+02
-2.4900e-03,8.0000e-02,0.0000e+00
-2.4800e-03,1.6000e-01,1.6000e+02
-2.4700e-03,1.6000e-01,1.6000e+02
-2.4600e-03,1.6000e-01,2.4000e+02
-2.4500e-03,1.6000e-01,1.6000e+02
-2.4400e-03,3.2000e-01,2.4000e+02
-2.4300e-03,3.2000e-01,1.6000e+02
-2.4200e-03,3.2000e-01,4.0000e+02
-2.4100e-03,3.2000e-01,2.4000e+02
-2.4000e-03,3.2000e-01,4.0000e+02
-2.3900e-03,3.2000e-01,3.2000e+02
-2.3800e-03,4.0000e-01,4.0000e+02
-2.3700e-03,4.0000e-01,3.2000e+02
-2.3600e-03,5.6000e-01,4.8000e+02
-2.3500e-03,4.8000e-01,4.0000e+02
-2.3400e-03,4.8000e-01,5.6000e+02
-2.3300e-03,5.6000e-01,4.0000e+02
-2.3200e-03,6.4000e-01,5.6000e+02
-2.3100e-03,5.6000e-01,4.8000e+02
-2.3000e-03,7.2000e-01,6.4000e+02
-2.2900e-03,6.4000e-01,5.6000e+02
-2.2800e-03,7.2000e-01,6.4000e+02
-2.2700e-03,7.2000e-01,5.6000e+02
-2.2600e-03,8.8000e-01,7.2000e+02
-2.2500e-03,8.0000e-01,6.4000e+02
-2.2400e-03,8.0000e-01,8.0000e+02
-2.2300e-03,8.0000e-01,7.2000e+02
-2.2200e-03,8.8000e-01,8.8000e+02
-2.2100e-03,8.8000e-01,7.2000e+02
-2.2000e-03,9.6000e-01,8.8000e+02
-2.1900e-03,9.6000e-01,8.0000e+02
-2.1800e-03,9.6000e-01,8.8000e+02
-2.1700e-03,9.6000e-01,8.8000e+02
-2.1600e-03,1.1200e+00,9.6000e+02
-2.1500e-03,1.0400e+00,9.6000e+02
-2.1400e-03,1.2000e+00,1.0400e+03
-2.1300e-03,1.0400e+00,9.6000e+02
-2.1200e-03,1.2000e+00,1.1200e+03
-2.1100e-03,1.1200e+00,1.0400e+03
-2.1000e-03,1.2800e+00,1.0400e+03
-2.0900e-03,1.2000e+00,1.0400e+03
-2.0800e-03,1.2800e+00,1.2000e+03
-2.0700e-03,1.2800e+00,1.1200e+03
-2.0600e-03,1.3600e+00,1.2000e+03
-2.0500e-03,1.2800e+00,1.1200e+03
-2.0400e-03,1.3600e+00,1.2800e+03
-2.0300e-03,1.3600e+00,1.2000e+03
-2.0200e-03,1.4400e+00,1.2800e+03
-2.0100e-03,1.4400e+00,1.2800e+03
-2.0000e-03,1.5200e+00,1.3600e+03
-1.9900e-03,1.5200e+00,1.2800e+03
-1.9800e-03,1.5200e+00,1.3600e+03
-1.9700e-03,1.5200e+00,1.3600e+03
-1.9600e-03,1.5200e+00,1.3600e+03
-1.9500e-03,1.6000e+00,1.3600e+03
-1.9400e-03,1.6000e+00,1.4400e+03
-1.9300e-03,1.5200e+00,1.4400e+03
-1.9200e-03,1.6800e+00,1.5200e+03
-1.9100e-03,1.6000e+00,1.5200e+03
-1.9000e-03,1.6800e+00,1.5200e+03
-1.8900e-03,1.6800e+00,1.5200e+03
