x-axis,CH2
second,Volt
2.6650e-03,4.6000e-02
2.6700e-03,4.6000e-02
2.6750e-03,4.6000e-02
2.6800e-03,4.6000e-02
2.6850e-03,4.6000e-02
2.6900e-03,4.6000e-02
2.6950e-03,4.6000e-02
2.7000e-03,4.6000e-02
2.7050e-03,4.6000e-02
2.7100e-03,4.6000e-02
2.7150e-03,4.6000e-02
2.7200e-03,4.6000e-02
2.7250e-03,4.6000e-02
2.7300e-03,4.6000e-02
2.7350e-03,4.6000e-02
2.7400e-03,4.6000e-02
2.7450e-03,4.6000e-02
2.7500e-03,4.6000e-02
2.7550e-03,4.6000e-02
2.7600e-03,4.6000e-02
2.7650e-03,4.6000e-02
2.7700e-03,4.6000e-02
2.7750e-03,4.6000e-02
2.7800e-03,4.6000e-02
2.7850e-03,4.6000e-02
2.7900e-03,4.6000e-02
2.7950e-03,4.6000e-02
2.8000e-03,4.6000e-02
2.8050e-03,4.6000e-02
2.8100e-03,4.6000e-02
2.8150e-03,4.6000e-02
2.8200e-03,4.6000e-02
2.8250e-03,4.6000e-02
2.8300e-03,4.6000e-02
2.8350e-03,4.6000e-02
2.8400e-03,4.6000e-02
2.8450e-03,4.6000e-02
2.8500e-03,4.6000e-02
2.8550e-03,4.6000e-02
2.8600e-03,4.6000e-02
2.8650e-03,4.6000e-02
2.8700e-03,4.6000e-02
2.8750e-03,4.6000e-02
2.8800e-03,4.6000e-02
2.8850e-03,4.6000e-02
2.8900e-03,4.6000e-02
2.8950e-03,4.6000e-02
2.9000e-03,4.6000e-02
2.9050e-03,4.6000e-02
2.9100e-03,4.6000e-02
2.9150e-03,4.6000e-02
2.9200e-03,4.6000e-02
2.9250e-03,4.6000e-02
2.9300e-03,4.6000e-02
2.9350e-03,4.6000e-02
2.9400e-03,4.6000e-02
2.9450e-03,4.6000e-02
2.9500e-03,4.6000e-02
2.9550e-03,4.6000e-02
2.9600e-03,4.6000e-02
2.9650e-03,4.6000e-02
2.9700e-03,4.6000e-02
2.9750e-03,4.6000e-02
2.9800e-03,4.6000e-02
2.9850e-03,4.6000e-02
2.9900e-03,4.6000e-02
2.9950e-03,4.6000e-02
3.0000e-03,4.6000e-02
3.0050e-03,4.6000e-02
3.0100e-03,4.6000e-02
3.0150e-03,4.6000e-02
3.0200e-03,4.6000e-02
3.0250e-03,4.6000e-02
3.0300e-03,4.6000e-02
3.0350e-03,4.6000e-02
3.0400e-03,4.6000e-02
